Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1.47,1.47,1.4,1.4,1.4,39400
2018-01-03,1.43,1.43,1.35,1.37,1.37,38700
2018-01-04,1.37,1.42,1.2,1.37,1.37,165600
2018-01-05,1.37,1.38,1.34,1.34,1.34,18700
2018-01-08,1.32,1.34,1.28,1.31,1.31,42900
2018-01-09,1.3,1.31,1.29,1.31,1.31,20700
2018-01-10,1.31,1.4,1.3,1.39,1.39,104100
2018-01-11,1.4,1.48,1.37,1.45,1.45,90700
2018-01-12,1.46,1.75,1.46,1.49,1.49,306000
2018-01-16,1.63,1.74,1.56,1.61,1.61,148800
2018-01-17,1.64,1.69,1.57,1.61,1.61,118500
2018-01-18,1.63,1.65,1.51,1.52,1.52,42300
2018-01-19,1.51,1.55,1.5,1.53,1.53,66900
2018-01-22,1.54,1.57,1.53,1.55,1.55,46100
2018-01-23,1.59,1.6,1.53,1.57,1.57,38500
2018-01-24,1.6,1.62,1.59,1.6,1.6,60600
2018-01-25,1.62,1.69,1.61,1.61,1.61,133800
2018-01-26,1.59,1.64,1.57,1.63,1.63,87100
2018-01-29,1.71,1.71,1.5,1.56,1.56,200000
2018-01-30,1.51,1.58,1.5,1.56,1.56,75200
2018-01-31,1.57,1.57,1.53,1.53,1.53,37000
2018-02-01,1.53,1.53,1.26,1.45,1.45,255000
2018-02-02,1.42,1.49,1.42,1.42,1.42,64600
2018-02-05,1.41,1.47,1.39,1.4,1.4,51600
2018-02-06,1.38,1.43,1.3,1.38,1.38,78300
2018-02-07,1.39,1.42,1.36,1.38,1.38,46300
2018-02-08,1.39,1.45,1.39,1.44,1.44,36500
2018-02-09,1.51,1.51,1.39,1.42,1.42,81300
2018-02-12,1.45,1.53,1.45,1.5,1.5,127900
2018-02-13,1.53,1.55,1.51,1.54,1.54,94800
2018-02-14,1.58,1.68,1.57,1.62,1.62,133900
2018-02-15,1.7,1.7,1.51,1.55,1.55,89500
2018-02-16,1.56,1.56,1.51,1.54,1.54,53600
2018-02-20,1.57,1.68,1.5,1.59,1.59,101600
2018-02-21,1.6,1.6,1.48,1.49,1.49,70200
2018-02-22,1.49,1.51,1.45,1.45,1.45,111900
2018-02-23,1.45,1.5,1.43,1.48,1.48,41200
2018-02-26,1.46,1.56,1.46,1.54,1.54,69600
2018-02-27,1.56,1.57,1.52,1.55,1.55,48600
2018-02-28,1.54,1.56,1.48,1.52,1.52,76600
2018-03-01,1.53,1.57,1.53,1.55,1.55,57900
2018-03-02,1.57,1.58,1.54,1.58,1.58,16700
2018-03-05,1.53,1.62,1.5,1.5,1.5,22800
2018-03-06,1.52,1.6,1.52,1.54,1.54,29100
2018-03-07,1.48,1.58,1.48,1.53,1.53,39800
2018-03-08,1.5,1.59,1.49,1.54,1.54,63400
2018-03-09,1.6,1.62,1.54,1.58,1.58,81400
2018-03-12,1.58,1.69,1.58,1.65,1.65,116100
2018-03-13,1.66,1.68,1.64,1.65,1.65,58200
2018-03-14,1.64,1.67,1.56,1.56,1.56,13800
2018-03-15,1.57,1.66,1.56,1.65,1.65,28200
2018-03-16,1.65,1.67,1.5,1.5,1.5,43300
2018-03-19,1.69,1.69,1.55,1.61,1.61,83800
2018-03-20,1.55,1.64,1.55,1.55,1.55,62200
2018-03-21,1.6,1.75,1.57,1.72,1.72,106400
2018-03-22,1.69,1.78,1.59,1.74,1.74,83600
2018-03-23,1.72,1.79,1.62,1.67,1.67,130900
2018-03-26,1.67,1.73,1.67,1.71,1.71,39700
